name,link,actual_price,old_price,id,brand
"Сыр Радость вкуса Топленое молочко полутвердый нарезка 45%, 125г",/products/125g-syr-toplenoe-molochko-45-radost-vkusa-nar-bzmzh,139,179,125g-syr-toplenoe-molochko-45-radost-vkusa-nar-bzmzh,РАДОСТЬ ВКУСА
"Сыр Ламбер Тильзитер полутвердый нарезка 45%, 150г",/products/tilziter-narezka-lamber-150g-bzmzh,259,,tilziter-narezka-lamber-150g-bzmzh,ЛАМБЕР
"Сыр Радость вкуса Львиное сердце полутвердый 45%, 180г",/products/180g-syr-45-radost-vkusa-lvinoe-serdtse-bzmzh,169,199,180g-syr-45-radost-vkusa-lvinoe-serdtse-bzmzh,РАДОСТЬ ВКУСА
"Сыр Viola Российский полутвердый нарезка 50%, 270г",/products/270g-syr-50-viola-rossiyskiy-narezka-bzmzh,339,,270g-syr-50-viola-rossiyskiy-narezka-bzmzh,VIOLA
"METRO Chef Сыр Эдам 40%, ~1кг",/products/edam-metro-chef-40-brusok-1-kg,909,,edam-metro-chef-40-brusok-1-kg,METRO CHEF
"METRO Chef Сыр Чеддар полутвердый нарезка 50%, 500г",/products/metro-chef-cheddar-50-500-g,719,,metro-chef-cheddar-50-500-g,METRO CHEF
"Сыр Брест-Литовск Финский полутвердый 45%, 200г",/products/art-76003,187,,art-76003,БРЕСТ-ЛИТОВСК
"Сыр Песто Oldenburger зеленый 45%, ~1кг",/products/1kg-syr-pesto-45-oldenburger-zelenyy-bzmzh,899,1409,1kg-syr-pesto-45-oldenburger-zelenyy-bzmzh,OLDENBURGER
"METRO Chef Сыр гауда 45%, 200г",/products/200g-syr-gauda-45-metro-chef-kusok-bzmzh,189,,200g-syr-gauda-45-metro-chef-kusok-bzmzh,METRO CHEF
"Продукт сыросодержащий Terra del Gusto Chef российский 40%, ~2.5кг",/products/25kg-produkt-syr-40-terra-del-gusto-chef-rossiyskiy,459,,25kg-produkt-syr-40-terra-del-gusto-chef-rossiyskiy,TERRA DEL GUSTO
"Сыр Карлов двор Гауда полутвердый, ~1.5кг",/products/karlov-dvor-gauda-15kg-bzmzh,1059,,karlov-dvor-gauda-15kg-bzmzh,КАРЛОВ ДВОР
"Сыр Viola Российский полутвердый 50%, 350г",/products/350g-syr-50-viola-rossiyskiy-kusok-bzmzh,419,,350g-syr-50-viola-rossiyskiy-kusok-bzmzh,VIOLA
"Сыр Киприно Алтайский полутвердый 50%, ~1.5кг",/products/altajskij-kiprino-50-15kg-bzmzh,1499,,altajskij-kiprino-50-15kg-bzmzh,КИПРИНО
"Сыр Стародуб Гауда полутвердый 45%, ~5.2кг",/products/52kg-syr-gauda-45-starodub-bzmzh,769,,52kg-syr-gauda-45-starodub-bzmzh,СТАРОДУБ
"Сыр Laime Премиум полутвердый 50%, 200г",/products/200g-syr-premium-50-laime-bzmzh,249,,200g-syr-premium-50-laime-bzmzh,LAIME
"Сыр Natura сливочный легкий полутвердый 16%, 400г",/products/400g-syr-legkiy-30-natura-bzmzh,399,499,400g-syr-legkiy-30-natura-bzmzh,NATURA
"METRO Chef Сыр тильзитер кусок 45%, 200г",/products/200g-syr-tilziter-45-metro-chef-kusok-bzmzh,204,,200g-syr-tilziter-45-metro-chef-kusok-bzmzh,METRO CHEF
"METRO Chef Сыр Чеддар красный 50%, ~2кг",/products/metro-chef-cheddar-krasnyj-50-bez-soderzhaniya-molochnogo-zhira-25kg,919,,metro-chef-cheddar-krasnyj-50-bez-soderzhaniya-molochnogo-zhira-25kg,METRO CHEF
